V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,79.3,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,396344.3
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,79.3,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.735
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,75.1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,396344.3
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,75.1,Natural Gas (Weighted U.S. Average),,,2011,Methane,7.35
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,79.3,Natural Gas (Weighted U.S. Average),,,2011,Methane,7.35
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,75.1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,75.1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.735
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.3,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,95406.9
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,8.2,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,95406.9
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.3,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.3,Natural Gas (Weighted U.S. Average),,,2011,Methane,1.78
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,6.3,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,95406.9
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.7,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.7,Natural Gas (Weighted U.S. Average),,,2011,Methane,1.78
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,6.3,Natural Gas (Weighted U.S. Average),,,2011,Methane,1.78
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,6.3,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.7,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,8.2,Natural Gas (Weighted U.S. Average),,,2011,Methane,1.78
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,6.3,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.7,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,95406.9
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,8.2,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,8.2,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2011,6460,7.3,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.178
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,98,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,740582
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,93,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,1.374
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,98,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,1.374
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,93,Natural Gas (Weighted U.S. Average),,,2011,Methane,13.74
