V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.2,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0.183
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.2,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.7,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,16.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,94984.3
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.2,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,94984.3
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,16.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.79
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.2,Distillate Fuel Oil No. 2,,,2012,Methane,1.79
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,20.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,20.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.183
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.7,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,94984.3
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.7,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0.183
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,16.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,20.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,94984.3
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,20.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.79
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.1,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0.014
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.13
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.014
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,1.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,6603.5
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.1,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,6603.5
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,1.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.13
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.1,Distillate Fuel Oil No. 2,,,2012,Methane,0.13
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.1,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,1.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,1.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.014
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2012,80022,0.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,6603.5
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2012,92154,3.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2012,92154,3.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.18
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2012,92154,3.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9526.6
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2012,92154,3.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.018
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2012,92020,10.9,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.52
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2012,92020,10.9,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,27535.2
