V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.9,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.219
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,9.7,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.6,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,118178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,10.7,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.219
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,167,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,2.386
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,169,Natural Gas (Weighted U.S. Average),,,2010,Methane,23.86
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,167,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,1286283.9
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,165.1,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,165.1,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,2.386
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,165.1,Natural Gas (Weighted U.S. Average),,,2010,Methane,23.86
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2010,92394,167,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
