V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,118.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,19.03
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,118.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,99.9,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1026242.6
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,181.2,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,99.9,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,118.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1026242.6
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,99.9,Natural Gas (Weighted U.S. Average),,,2012,Methane,19.03
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,181.2,Natural Gas (Weighted U.S. Average),,,2012,Methane,19.03
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,181.2,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.903
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,99.9,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.903
Maricopa,1000250,Santan,33.331797,-111.75557,AZ,ARIZONA,181.2,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1026242.6
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,754.4,Bituminous,,,2012,Methane,49.7
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,289.3,Bituminous,,,2012,Biogenic Carbon dioxide,0
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,289.3,Bituminous,,,2012,Nitrous Oxide,7.229
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,754.4,Bituminous,,,2012,Biogenic Carbon dioxide,0
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,289.3,Bituminous,,,2012,Methane,49.7
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,754.4,Bituminous,,,2012,Carbon Dioxide,420547.7
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,754.4,Bituminous,,,2012,Nitrous Oxide,7.229
Hopewell (City),1000252,Cogentrix-Hopewell,37.2939,-77.2697,VA,VIRGINIA,289.3,Bituminous,,,2012,Carbon Dioxide,420547.7
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,111.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,95.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.27
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,136,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.27
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,136,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,120.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.327
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,112.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1790518.1
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,123.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.327
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,136,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1790518.1
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,120.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1790518.1
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,111.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1790518.1
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,111.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.27
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,136,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.327
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,112.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.27
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,111.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.327
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,120.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.27
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,112.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,95.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1790518.1
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,95.7,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.327
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,123.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1790518.1
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,95.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,123.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.27
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,123.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,120.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Harris,1000255,Optim Energy Altura Cogen  LLC,29.814,-95.107333,TX,TEXAS,112.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.327
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,260.3,Bituminous,,,2012,Carbon Dioxide,230345.9
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,260.3,Bituminous,,,2012,Nitrous Oxide,3.193
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,198.4,Bituminous,,,2012,Methane,21.93
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,260.3,Bituminous,,,2012,Methane,21.93
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,0.8,Distillate Fuel Oil No. 2,,,2012,Methane,21.93
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,198.4,Bituminous,,,2012,Carbon Dioxide,230345.9
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,0.8,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,230345.9
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,0.8,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,260.3,Bituminous,,,2012,Biogenic Carbon dioxide,0
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,198.4,Bituminous,,,2012,Biogenic Carbon dioxide,0
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,198.4,Bituminous,,,2012,Nitrous Oxide,3.193
Mecklenburg,1000257,Mecklenburg Power Station,36.5995,-78.53001,VA,VIRGINIA,0.8,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,3.193
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0,Distillate Fuel Oil No. 2,,,2012,Methane,11.37
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,116.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,605234.5
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,116.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,116.7,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.137
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,605234.5
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,605234.5
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,116.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,11.37
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,121.4,Natural Gas (Weighted U.S. Average),,,2012,Methane,11.37
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.137
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,1.137
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,121.4,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.137
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,121.4,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,605234.5
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,11.37
Louisa,1000263,Gordonsville Power Station,38.1169,-78.2144,VA,VIRGINIA,121.4,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,3,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.77
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.077
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.7,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.077
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,41962.5
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.077
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,41962.5
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.077
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.77
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.77
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,41962.5
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.77
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Piatt,1000264,Goose Creek Power Plant,40.106924,-88.599399,IL,ILLINOIS,2.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,41962.5
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,330.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,334.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.66
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,334.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,334.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.166
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,330.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.66
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,334.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1707170.4
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,330.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1707170.4
Fayette,1000265,Duke Energy Fayette  II LLC,39.84133,-79.90217,PA,PENNSYLVANIA,330.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.166
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Natural Gas (Weighted U.S. Average),,,2012,Methane,0
Broome,1000266,Binghamton Cogen Plant,42.108389,-75.919639,NY,NEW YORK,0,Distillate Fuel Oil No. 2,,,2012,Methane,0
Suffolk,1000267,Edgewood Energy,40.78234,-73.24312,NY,NEW YORK,22.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.21
Suffolk,1000267,Edgewood Energy,40.78234,-73.24312,NY,NEW YORK,22.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,2.1
Suffolk,1000267,Edgewood Energy,40.78234,-73.24312,NY,NEW YORK,22.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Suffolk,1000267,Edgewood Energy,40.78234,-73.24312,NY,NEW YORK,22.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,113599.9
Suffolk,1000268,Shoreham Energy,40.78,-72.91333,NY,NEW YORK,6.4,Kerosene,,,2012,Carbon Dioxide,14876.2
Suffolk,1000268,Shoreham Energy,40.78,-72.91333,NY,NEW YORK,6.4,Kerosene,,,2012,Biogenic Carbon dioxide,0
Suffolk,1000268,Shoreham Energy,40.78,-72.91333,NY,NEW YORK,6.4,Kerosene,,,2012,Methane,0.6
Suffolk,1000268,Shoreham Energy,40.78,-72.91333,NY,NEW YORK,6.4,Kerosene,,,2012,Nitrous Oxide,0.122
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,248.4,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.388
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,225.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.388
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,248.4,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1826678.1
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,237.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1826678.1
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,237.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,225.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1826678.1
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,225.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,248.4,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,237.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.388
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,225.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.88
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,248.4,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.88
Delaware,1000269,FPL Energy Marcus Hook  LP,39.828897,-75.440299,PA,PENNSYLVANIA,237.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,33.88
Valencia,1000270,Valencia Power Plant,34.604619,-106.733075,NM,NEW MEXICO,12.2,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,31364.1
Valencia,1000270,Valencia Power Plant,34.604619,-106.733075,NM,NEW MEXICO,12.2,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.058
Valencia,1000270,Valencia Power Plant,34.604619,-106.733075,NM,NEW MEXICO,12.2,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.58
Valencia,1000270,Valencia Power Plant,34.604619,-106.733075,NM,NEW MEXICO,12.2,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,190.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.883
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,205,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1015516.4
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,205,Natural Gas (Weighted U.S. Average),,,2012,Methane,18.83
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,205,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,190.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,205,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.883
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,190.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,18.83
Weld,1000271,Rocky Mountain Energy Center,40.091056,-104.595444,CO,COLORADO,190.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1015516.4
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,254.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,34.07
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.1,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,1749930.6
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.1,Distillate Fuel Oil No. 2,,,2012,Methane,34.07
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.3,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,3.409
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.3,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,1749930.6
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,231.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1749930.6
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,231.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.409
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,254.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.409
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.3,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,254.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,254.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1749930.6
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.1,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.3,Distillate Fuel Oil No. 2,,,2012,Methane,34.07
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,228.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1749930.6
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,231.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,34.07
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,231.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,228.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,0.1,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,3.409
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,228.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.409
Jasper,1000277,Jasper County Generating Facility,32.27546,-81.04789,SC,SOUTH CAROLINA,228.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,34.07
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,212.4,Natural Gas (Weighted U.S. Average),,,2012,Methane,19.66
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,200.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1059997.5
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,200.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,212.4,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.966
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,212.4,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,200.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,19.66
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,212.4,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1059997.5
Clark,1000278,Walter M. Higgins III Generating Station,35.6131,-115.3559,NV,NEVADA,200.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,1.966
Sutter,1000279,Feather River Energy Center,39.13249,-121.65604,CA,CALIFORNIA,9,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.043
